phone_number,attempted,attempts,disposition,support_smith,environment_thermometer
4108423989,TRUE,1,1,1,7
4103241113,TRUE,1,1,NA,9
4103801787,TRUE,2,1,1,4
4107307552,TRUE,1,1,1,3
4104914033,TRUE,2,0,NA,NA
4109828672,TRUE,1,1,0,2
4105574581,TRUE,1,1,0,2
4102316045,TRUE,2,1,0,7
4107700601,TRUE,1,0,NA,NA
4105648364,TRUE,1,1,0,1
4101778313,TRUE,1,1,0,10
4101509295,TRUE,1,0,NA,NA
4104463080,TRUE,1,1,1,10
4102551328,TRUE,1,1,1,10
4102773630,TRUE,1,1,1,7
4104903801,TRUE,2,0,NA,NA
4101206654,TRUE,2,1,1,6
4102666667,TRUE,2,1,1,5
4102453391,TRUE,1,0,NA,NA
4103693004,TRUE,1,0,NA,NA
4105903496,TRUE,2,1,1,6
4106591111,TRUE,1,0,NA,NA
4109195496,TRUE,1,1,1,10
4106406178,TRUE,2,0,NA,NA
4100700495,TRUE,1,0,NA,NA
4100878352,TRUE,1,1,0,8
4109231076,TRUE,1,1,1,5
4104544398,TRUE,2,1,0,4
4109839041,TRUE,1,1,0,5
4101996644,TRUE,1,0,NA,NA
4105510236,TRUE,1,1,0,5
4105799169,TRUE,1,0,NA,NA
4107685909,TRUE,2,1,NA,7
4104825697,TRUE,1,1,1,5
4100728341,TRUE,2,1,1,6
4104958107,TRUE,1,1,0,6
4106988139,TRUE,2,1,1,<NA>
4103361685,TRUE,1,1,1,7
4108199869,TRUE,1,1,NA,9
4109274232,TRUE,1,1,0,8
4107700067,TRUE,1,1,NA,5
4100741903,TRUE,2,1,NA,7
4102645847,TRUE,2,1,1,2
4105715481,TRUE,1,1,1,6
4103443805,TRUE,2,1,0,6
4107942859,TRUE,2,1,1,7
4100436652,TRUE,1,1,1,5
4101177139,TRUE,2,1,1,4
4106730725,TRUE,1,1,0,10
4104849970,TRUE,1,1,1,10
4108569924,TRUE,1,1,0,9
4103937015,TRUE,2,1,0,8
4105374801,TRUE,1,0,NA,NA
4101007669,TRUE,1,1,1,7
4103989378,TRUE,2,1,NA,8
4100101990,TRUE,1,1,0,7
4101362973,TRUE,2,1,0,10
4102036096,TRUE,1,1,1,6
4109186179,TRUE,1,1,1,6
4106411755,TRUE,1,0,NA,NA
4103488037,TRUE,2,0,NA,NA
4103829841,TRUE,1,1,0,7
4104384730,TRUE,1,1,1,9
4104993967,TRUE,1,1,1,7
4100852226,TRUE,1,1,0,7
4109258425,TRUE,1,1,0,9
4102735025,TRUE,2,1,1,5
4103501163,TRUE,1,1,1,7
4108140226,TRUE,1,1,0,5
4109722227,TRUE,1,1,1,NA
4108168405,TRUE,1,1,0,6
4104693154,TRUE,1,1,1,10
4109182902,TRUE,1,1,0,8
4100695245,TRUE,2,0,NA,NA
4100407153,TRUE,2,0,NA,NA
4107770584,TRUE,2,1,NA,5
4104582837,TRUE,1,1,0,3
4106608846,TRUE,1,1,0,6
4109799281,TRUE,1,1,1,7
4108143191,TRUE,2,1,0,6
4105199433,TRUE,1,1,1,5
4107518380,TRUE,1,1,NA,6
4107543218,TRUE,1,1,NA,4
4107988630,TRUE,1,1,0,5
4103684331,TRUE,2,1,1,5
4104196506,TRUE,1,1,0,8
4107929331,TRUE,1,0,NA,NA
4103890365,TRUE,1,0,NA,NA
4100767638,TRUE,1,0,NA,NA
4107428386,TRUE,1,1,1,NA
4102000935,TRUE,1,1,1,10
4102308571,TRUE,1,0,NA,NA
4107455454,TRUE,1,1,0,NA
4107830052,TRUE,1,0,NA,NA
4102854823,TRUE,1,1,1,4
4102888689,TRUE,1,1,0,8
4107198031,TRUE,1,1,1,2
4101504813,TRUE,1,1,1,4
4100610084,TRUE,2,1,1,NA
4106767251,TRUE,1,0,NA,NA
4104751029,TRUE,1,1,1,9
4101245590,TRUE,1,1,1,NA
4100086764,TRUE,1,1,0,8
4108662134,TRUE,2,1,1,5
4106085428,TRUE,1,1,1,6
4102683341,TRUE,1,1,0,7
4104962186,TRUE,1,1,NA,6
4105579386,TRUE,1,1,1,6
4107588458,TRUE,2,0,NA,NA
4107666772,TRUE,1,0,NA,NA
4101601876,TRUE,1,1,0,9
4102628921,TRUE,1,1,1,10
4102656441,TRUE,2,1,1,7
4106851406,TRUE,1,1,1,8
4109230119,TRUE,2,1,0,9
4102813448,TRUE,1,0,NA,NA
4103923873,TRUE,2,0,NA,NA
4107092483,TRUE,1,1,1,8
4102730257,TRUE,1,0,NA,NA
4108361890,TRUE,1,1,1,2
4101724619,TRUE,1,0,NA,NA
4101194894,TRUE,2,0,NA,NA
4100507703,TRUE,1,1,0,2
4100612702,TRUE,2,1,1,7
4102009351,TRUE,2,1,1,6
4109858748,TRUE,1,0,NA,NA
4108471917,TRUE,1,1,1,NA
4100436299,TRUE,2,1,1,4
4109997230,TRUE,1,1,1,7
4102601783,TRUE,2,1,0,7
4106701440,TRUE,1,1,1,10
4103853819,TRUE,1,1,1,9
4102274173,TRUE,1,1,1,4
4106924232,TRUE,1,1,0,8
4109104969,TRUE,1,1,NA,6
4102921176,TRUE,1,1,1,4
4100264655,TRUE,2,0,NA,NA
4103966487,TRUE,2,0,NA,NA
4106437818,TRUE,1,1,0,7
4101410094,TRUE,1,1,1,9
4105434862,TRUE,1,0,NA,NA
4100557057,TRUE,1,1,1,5
4101230116,TRUE,1,1,1,6
4105846091,TRUE,2,1,0,5
4100675011,TRUE,1,1,1,6
4101676464,TRUE,2,1,1,6
4107491346,TRUE,2,1,1,4
4102445974,TRUE,2,1,1,5
4105882130,TRUE,1,1,1,10
4100349280,TRUE,1,1,0,9
4108785053,TRUE,1,1,1,6
4100744853,TRUE,1,0,NA,NA
4101450913,TRUE,1,0,NA,NA
4106841334,TRUE,1,0,NA,NA
4101658699,TRUE,1,0,NA,NA
4109101494,TRUE,1,1,0,6
4100345124,TRUE,1,1,1,5
4104504803,TRUE,1,0,NA,NA
4105788957,TRUE,1,1,1,NA
4100999882,TRUE,1,1,NA,1
4108789692,TRUE,1,1,1,7
4100437010,TRUE,1,1,1,5
4100772359,TRUE,1,0,NA,NA
4109869559,TRUE,1,1,1,7
4107630906,TRUE,2,1,0,2
4105661805,TRUE,1,0,NA,NA
4103861705,TRUE,1,1,1,9
4106658044,TRUE,1,1,0,6
4101187797,TRUE,2,1,1,6
4106706615,TRUE,1,1,1,4
4100124887,TRUE,1,1,1,10
4101913001,TRUE,1,1,0,5
4106490823,TRUE,1,1,0,8
4105176782,TRUE,1,1,1,10
4101274524,TRUE,1,0,NA,NA
4105186988,TRUE,1,1,0,5
4106094148,TRUE,2,1,1,1
4107061561,TRUE,1,1,1,4
4106303196,TRUE,1,1,0,5
4105607849,TRUE,2,1,NA,10
4105705777,TRUE,1,0,NA,NA
4106937852,TRUE,1,0,NA,NA
4106085615,TRUE,1,1,1,3
4104742102,TRUE,1,1,0,5
4100778857,TRUE,1,1,1,4
4100094390,TRUE,1,1,NA,2
4109140226,TRUE,2,1,0,7
4104900704,TRUE,1,1,1,9
4108943950,TRUE,1,0,NA,NA
4103179879,TRUE,1,1,0,5
4106189275,TRUE,1,1,0,10
4107914578,TRUE,1,0,NA,NA
4105828272,TRUE,1,1,1,9
4109147644,TRUE,1,1,NA,4
4100868669,TRUE,1,0,NA,NA
4101137603,TRUE,1,1,0,7
4108070859,TRUE,1,1,NA,6
4103714145,TRUE,2,1,1,4
4104922278,TRUE,1,1,1,6
4100803499,TRUE,1,1,0,6
4103088380,TRUE,1,1,0,NA
4102916559,TRUE,2,1,NA,4
4108222067,TRUE,2,1,1,4
4109489192,TRUE,1,0,NA,NA
4109840943,TRUE,1,1,0,3
4104996885,TRUE,2,1,1,9
4100310434,TRUE,1,1,1,9
4100649135,TRUE,1,1,1,10
4109144037,TRUE,1,1,0,10
4100231721,TRUE,1,1,0,5
4108557937,TRUE,1,1,NA,9
4101191134,TRUE,1,1,1,9
4101541461,TRUE,1,1,0,5
4107071803,TRUE,1,1,1,5
4107046439,TRUE,1,1,1,6
4102202100,TRUE,1,0,NA,NA
4101047019,TRUE,1,1,1,NA
4104726250,TRUE,2,1,0,7
4106853947,TRUE,2,0,NA,NA
4107702816,TRUE,1,1,1,4
4109304301,TRUE,1,1,NA,9
4107933895,TRUE,1,1,0,10
4107170982,TRUE,2,0,NA,NA
4106979878,TRUE,1,1,1,NA
4104687447,TRUE,1,0,NA,NA
4106801352,TRUE,1,1,0,5
4101612605,TRUE,1,1,1,6
4109314860,TRUE,2,1,1,9
4100050609,TRUE,2,1,1,5
4109266236,TRUE,1,1,1,10
4108582914,TRUE,1,1,NA,6
4100905264,TRUE,1,1,0,6
4102815554,TRUE,2,1,1,3
4102935027,TRUE,2,1,1,5
4103347463,TRUE,1,1,0,8
4108704647,TRUE,1,1,0,8
4103428237,TRUE,1,1,0,7
4104672502,TRUE,1,1,NA,5
4100011980,TRUE,1,0,NA,NA
4105516521,TRUE,1,1,1,2
4100583529,TRUE,1,1,0,5
4106284114,TRUE,1,1,0,4
4104434796,TRUE,2,1,NA,4
4101366113,TRUE,1,0,NA,NA
4107337976,TRUE,1,0,NA,NA
4106509927,TRUE,1,1,0,5
4101314926,TRUE,1,1,1,7
4101845610,TRUE,1,1,1,10
4106589580,TRUE,1,1,0,9
4108603090,TRUE,2,1,0,3
4106770071,TRUE,2,1,1,5
4107870001,TRUE,1,0,NA,NA
4104761983,TRUE,1,1,NA,5
4106825757,TRUE,1,1,1,NA
4107815842,TRUE,1,1,0,2
4100050044,TRUE,1,0,NA,NA
4108054346,TRUE,1,1,1,NA
4108212531,TRUE,1,0,NA,NA
4105933726,TRUE,1,1,0,5
4103281523,TRUE,2,1,1,4
4104195851,TRUE,2,0,NA,NA
4102096215,TRUE,1,1,1,9
4103168248,TRUE,2,0,NA,NA
4107873463,TRUE,1,1,1,7
4102755981,TRUE,1,0,NA,NA
4105332168,TRUE,2,1,1,5
4105410800,TRUE,1,1,0,9
4106660766,TRUE,1,0,NA,NA
4104359926,TRUE,2,0,NA,NA
4101559365,TRUE,2,1,1,5
4107589477,TRUE,1,1,0,10
4100985774,TRUE,2,1,1,7
4103193773,TRUE,1,1,0,8
4104812572,TRUE,1,0,NA,NA
4104637801,TRUE,2,1,0,4
4100722319,TRUE,1,1,0,6
4104148513,TRUE,1,0,NA,NA
4102483078,TRUE,1,0,NA,NA
4104354894,TRUE,1,0,NA,NA
4104576923,TRUE,2,1,0,7
4104165892,TRUE,1,1,1,4
4108178363,TRUE,1,1,0,2
4105958489,TRUE,1,1,0,8
4108993691,TRUE,1,1,1,3
4103536871,TRUE,1,1,1,2
4107169725,TRUE,2,0,NA,NA
4107207061,TRUE,1,0,NA,NA
4104625415,TRUE,1,1,1,5
4105509937,TRUE,1,0,NA,NA
4105334495,TRUE,1,1,1,4
4105706486,TRUE,1,1,NA,9
4109722459,TRUE,1,1,1,6
4102893975,TRUE,1,0,NA,NA
4101590672,TRUE,1,1,NA,2
4106143607,TRUE,1,1,1,6
4108276756,TRUE,1,0,NA,NA
4105631275,TRUE,1,1,1,9
4100405925,TRUE,1,0,NA,NA
4109768490,TRUE,2,0,NA,NA
4103207277,TRUE,2,1,0,6
4103536223,TRUE,1,1,1,7
4109308066,TRUE,1,1,0,6
4102438732,TRUE,1,1,0,6
4102619365,TRUE,1,0,NA,NA
4104693987,TRUE,1,1,1,8
4103966483,TRUE,1,1,1,10
4104214769,TRUE,1,1,1,8
4107760371,TRUE,2,0,NA,NA
4102484364,TRUE,2,1,1,7
4104076091,TRUE,1,0,NA,NA
4109410166,TRUE,1,0,NA,NA
4105168352,TRUE,1,1,1,10
4100297430,TRUE,1,1,0,5
4103461580,TRUE,1,1,1,6
4108682478,TRUE,1,1,1,6
4106285127,TRUE,1,0,NA,NA
4109608414,TRUE,2,1,0,NA
4108738958,TRUE,2,1,1,8
4101871221,TRUE,1,1,1,8
4102899109,TRUE,1,1,0,NA
4107537787,TRUE,1,0,NA,NA
4102116314,TRUE,1,1,1,5
4109733513,TRUE,1,1,0,9
4107538529,TRUE,2,0,NA,NA
4103269320,TRUE,1,1,1,6
4109079315,TRUE,2,0,NA,NA
4105779945,TRUE,1,0,NA,NA
4108654889,TRUE,1,0,NA,NA
4108941370,TRUE,2,0,NA,NA
4104518846,TRUE,2,1,0,10
4102726122,TRUE,1,1,NA,10
4105290602,TRUE,1,1,1,4
4104839272,TRUE,1,1,1,5
4102086284,TRUE,1,0,NA,NA
4104310480,TRUE,1,0,NA,NA
4103324639,TRUE,1,1,1,8
4100522829,TRUE,1,1,0,7
4102650240,TRUE,1,1,NA,8
4102667882,TRUE,1,0,NA,NA
4107768070,TRUE,1,1,1,9
4102447096,TRUE,1,0,NA,NA
4108767956,TRUE,1,1,0,6
4106660695,TRUE,1,1,NA,5
4105825284,TRUE,1,1,0,8
4109104917,TRUE,2,1,0,5
4106827420,TRUE,1,1,0,10
4107158689,TRUE,1,1,0,6
4106678119,TRUE,1,0,NA,NA
4100812266,TRUE,1,1,1,8
4104873108,TRUE,1,1,1,5
4101678345,TRUE,2,0,NA,NA
4108259269,TRUE,2,0,NA,NA
4107561576,TRUE,1,1,NA,4
4104432963,TRUE,1,1,0,4
4107725412,TRUE,1,1,1,6
4109879234,TRUE,2,1,1,2
4100102998,TRUE,1,1,1,NA
4108633943,TRUE,2,0,NA,NA
4109374871,TRUE,1,1,0,6
4109385836,TRUE,2,1,1,7
4106234979,TRUE,1,0,NA,NA
4108682569,TRUE,2,0,NA,NA
4103436721,TRUE,2,1,1,4
4104188078,TRUE,1,1,0,7
4106637031,TRUE,1,1,0,<NA>
4103409005,TRUE,1,0,NA,NA
4102122500,TRUE,1,1,NA,6
4109842508,TRUE,1,1,1,5
4106681156,TRUE,1,0,NA,NA
4105028869,TRUE,1,1,0,7
4105485718,TRUE,1,0,NA,NA
4103909734,TRUE,1,1,1,9
4103859599,TRUE,1,1,0,9
4105703856,TRUE,1,1,1,8
4102663774,TRUE,2,0,NA,NA
4104159143,TRUE,1,1,0,6
4101789433,TRUE,2,1,0,8
4108307831,TRUE,1,0,NA,NA
4108595905,TRUE,1,1,1,9
4108437914,TRUE,1,0,NA,NA
4102142717,TRUE,1,1,1,NA
4105781206,TRUE,1,0,NA,NA
4105951869,TRUE,1,1,1,7
4107415514,TRUE,1,1,0,7
4105795333,TRUE,1,1,1,7
4105053097,TRUE,1,1,0,8
4104938975,TRUE,1,1,1,5
4106428701,TRUE,2,1,1,5
4104792273,TRUE,1,0,NA,NA
4100936190,TRUE,1,1,1,10
4104233399,TRUE,1,0,NA,NA
4107405178,TRUE,1,1,0,NA
4102060021,TRUE,1,1,1,8
4107522901,TRUE,1,1,0,8
4108444140,TRUE,1,1,0,9
4101203300,TRUE,1,1,1,7
4109048764,TRUE,1,1,NA,1
4101016954,TRUE,1,1,0,1
4106435219,TRUE,1,1,1,3
4101305901,TRUE,2,1,1,7
4108245336,TRUE,1,1,0,8
4109521308,TRUE,1,1,1,4
4109347532,TRUE,1,1,NA,7
4101890025,TRUE,1,1,0,3
4101924857,TRUE,1,1,1,4
4104776494,TRUE,1,1,1,4
4104858327,TRUE,1,0,NA,NA
4102511535,TRUE,1,1,1,4
4101290473,TRUE,1,0,NA,NA
4106252365,TRUE,2,1,0,3
4103840466,TRUE,1,1,1,7
4100120838,TRUE,1,0,NA,NA
4102204848,TRUE,1,1,1,7
4100519431,TRUE,1,1,1,5
4106163496,TRUE,2,1,NA,7
4108593022,TRUE,1,0,NA,NA
4109456429,TRUE,2,1,1,5
4107811909,TRUE,2,0,NA,NA
4102368658,TRUE,1,1,1,8
4100439195,TRUE,2,1,1,5
4109992964,TRUE,1,1,1,4
4101450529,TRUE,1,1,1,6
4109192334,TRUE,2,1,0,10
4105643321,TRUE,1,1,0,6
4105530918,TRUE,1,1,1,3
4103149064,TRUE,1,0,NA,NA
4102958014,TRUE,1,1,1,NA
4104200748,TRUE,1,1,1,5
4108107244,TRUE,1,0,NA,NA
4102402566,TRUE,1,1,0,7
4101539702,TRUE,2,0,NA,NA
4101970430,TRUE,2,1,1,2
4105835645,TRUE,1,1,0,9
4100464971,TRUE,1,1,0,5
4106575155,TRUE,1,1,1,5
4105940407,TRUE,1,0,NA,NA
4105482949,TRUE,1,1,0,8
4109836112,TRUE,1,1,0,4
4105167367,TRUE,1,0,NA,NA
4109797365,TRUE,1,1,1,10
4101909958,TRUE,1,1,1,NA
4105758737,TRUE,1,1,1,7
4108853217,TRUE,1,0,NA,NA
4103599231,TRUE,1,1,1,7
4100332876,TRUE,1,1,0,2
4100096402,TRUE,1,1,0,5
4101291649,TRUE,2,1,1,6
4108051344,TRUE,1,0,NA,NA
4109608740,TRUE,1,1,0,5
4101700286,TRUE,1,1,1,7
4109479412,TRUE,1,1,1,10
4109863818,TRUE,2,0,NA,NA
4100925642,TRUE,1,0,NA,NA
4104368617,TRUE,1,0,NA,NA
4100990396,TRUE,1,1,0,4
4109404724,TRUE,2,0,NA,NA
4104809028,TRUE,2,1,0,6
4106435451,TRUE,1,0,NA,NA
4105257695,TRUE,2,1,NA,7
4104120239,TRUE,1,0,NA,NA
4106374074,TRUE,2,1,NA,8
4107530556,TRUE,2,0,NA,NA
4100099623,TRUE,1,1,0,2
4109052781,TRUE,2,1,1,<NA>
4103073118,TRUE,1,1,1,7
4107921119,TRUE,1,1,0,4
4103914987,TRUE,1,1,1,NA
4107042753,TRUE,1,1,NA,5
4100817726,TRUE,2,0,NA,NA
4103623598,TRUE,1,1,0,7
4107406054,TRUE,1,1,1,1
4105005155,TRUE,1,1,1,5
4108227323,TRUE,1,1,0,7
4100672448,TRUE,1,0,NA,NA
4109360846,TRUE,1,0,NA,NA
4104113918,TRUE,1,1,1,2
4101670395,TRUE,2,1,0,5
4105690224,TRUE,1,1,1,6
4101067574,TRUE,1,1,1,7
4109742986,TRUE,2,1,0,5
4108806547,TRUE,1,1,1,7
4100644426,TRUE,1,1,1,6
4101325941,TRUE,1,0,NA,NA
4108231637,TRUE,1,1,1,7
4105528006,TRUE,2,1,1,6
4108202473,TRUE,1,0,NA,NA
4100002316,TRUE,2,1,0,10
4104680230,TRUE,1,1,1,10
4101183652,TRUE,1,1,0,7
4102364605,TRUE,1,0,NA,NA
4105036450,TRUE,1,1,0,NA
4109316875,TRUE,1,0,NA,NA
4103732104,TRUE,2,0,NA,NA
4108931618,TRUE,1,0,NA,NA
4100567305,TRUE,1,0,NA,NA
4109908774,TRUE,1,1,1,4
4104785072,TRUE,1,1,1,2
4107329802,TRUE,1,1,1,5
4103631681,TRUE,1,0,NA,NA
4107739895,TRUE,1,1,0,7
4101276897,TRUE,1,1,NA,5
4107679804,TRUE,1,0,NA,NA
4106257688,TRUE,1,1,1,4
4103456442,TRUE,1,0,NA,NA
4107185312,TRUE,1,1,0,3
4102799216,TRUE,1,0,NA,NA
4103677226,TRUE,1,1,1,8
4102134400,TRUE,1,1,1,6
4108358619,TRUE,2,0,NA,NA
4104313248,TRUE,2,1,1,9
4101201965,TRUE,1,1,1,6
4105415787,TRUE,1,1,1,5
4101143316,TRUE,2,1,1,NA
4102386665,TRUE,1,0,NA,NA
4103242756,TRUE,2,1,NA,5
4105817073,TRUE,1,0,NA,NA
4100321484,TRUE,2,0,NA,NA
4109336846,TRUE,1,1,0,6
4104441506,TRUE,1,1,1,6
4107930587,TRUE,1,1,0,9
4106083040,TRUE,2,1,1,6
4104594867,TRUE,1,1,1,6
4107865141,TRUE,1,0,NA,NA
4102088926,TRUE,2,1,0,1
4105697234,TRUE,1,1,0,10
4107478981,TRUE,1,0,NA,NA
4104996795,TRUE,1,0,NA,NA
4108647480,TRUE,2,0,NA,NA
4104566941,TRUE,2,1,0,5
4109414893,TRUE,1,0,NA,NA
4101485824,TRUE,1,1,1,4
4101368164,TRUE,1,0,NA,NA
4103953582,TRUE,1,1,0,8
4102717624,TRUE,1,1,1,9
4100802442,TRUE,1,1,1,6
4105163389,TRUE,1,1,1,7
4104274842,TRUE,2,1,0,9
4106054862,TRUE,1,1,1,9
4104335315,TRUE,1,1,1,7
4100281738,TRUE,1,1,1,7
4102670731,TRUE,2,0,NA,NA
4107149704,TRUE,1,1,0,3
4109991287,TRUE,1,0,NA,NA
4103191589,TRUE,1,1,0,8
4102981401,TRUE,1,0,NA,NA
4102270791,TRUE,1,1,1,4
4106759604,TRUE,1,0,NA,NA
4100386782,TRUE,1,1,1,4
4107200789,TRUE,1,1,1,8
4100334237,TRUE,2,0,NA,NA
4104951046,TRUE,2,1,0,5
4107356558,TRUE,1,1,0,9
4100448130,TRUE,1,1,NA,5
4105133571,TRUE,1,1,NA,7
4100160290,TRUE,1,0,NA,NA
4106843553,TRUE,1,0,NA,NA
4100614399,TRUE,1,1,0,2
4103853031,TRUE,1,1,NA,10
4102068904,TRUE,1,1,0,6
4100898559,TRUE,1,0,NA,NA
4104598643,TRUE,1,1,0,6
4109595096,TRUE,1,0,NA,NA
4107806840,TRUE,2,1,1,7
4100225730,TRUE,2,1,1,8
4108376350,TRUE,2,1,1,1
4105202426,TRUE,1,1,1,6
4106831022,TRUE,1,0,NA,NA
4105519614,TRUE,2,1,0,9
4100973397,TRUE,1,0,NA,NA
4105644362,TRUE,2,1,0,7
4102713741,TRUE,1,0,NA,NA
4102619795,TRUE,1,1,1,6
4108674383,TRUE,1,1,0,7
4109813751,TRUE,1,1,NA,6
4105521928,TRUE,1,1,1,5
4108448448,TRUE,2,1,1,5
4106774032,TRUE,1,1,0,NA
4105768878,TRUE,1,1,1,3
4104381182,TRUE,2,0,NA,NA
4106746186,TRUE,1,0,NA,NA
4107409204,TRUE,1,0,NA,NA
4109002836,TRUE,1,0,NA,NA
4107601178,TRUE,1,1,1,2
4103292512,TRUE,1,0,NA,NA
4108564785,TRUE,2,1,1,7
4101416246,TRUE,1,1,1,7
4102635685,TRUE,1,1,1,4
4104342368,TRUE,1,1,1,6
4100053157,TRUE,1,1,NA,7
4107109972,TRUE,1,0,NA,NA
4103820618,TRUE,1,0,NA,NA
4102489948,TRUE,1,1,0,10
4105633365,TRUE,1,1,0,4
4102623679,TRUE,1,1,0,9
4104285277,TRUE,1,1,1,9
4105399886,TRUE,1,1,0,4
4101441796,TRUE,1,0,NA,NA
4109432222,TRUE,1,1,1,4
4108866700,TRUE,1,1,1,8
4104567322,TRUE,1,1,1,NA
4102366646,TRUE,1,1,1,9
4109637669,TRUE,1,1,0,4
4102040007,TRUE,1,1,0,9
4107422342,TRUE,1,0,NA,NA
4108420485,TRUE,1,1,0,5
4102747420,TRUE,1,1,1,9
4107479132,TRUE,1,1,0,2
4107787857,TRUE,1,1,NA,10
4108949639,TRUE,1,1,0,10
4109661847,TRUE,1,1,1,9
4102524891,TRUE,1,1,1,7
4106136612,TRUE,1,1,0,NA
4101929354,TRUE,1,1,0,6
4108267389,TRUE,1,0,NA,NA
4103882556,TRUE,2,1,1,4
4103382379,TRUE,1,1,1,6
4106074128,TRUE,1,1,0,6
4106325485,TRUE,2,1,0,5
4103854617,TRUE,1,1,1,7
4107992910,TRUE,2,1,1,9
4109672855,TRUE,2,1,NA,8
4109929848,TRUE,1,1,0,7
4109242327,TRUE,1,1,1,5
4101957810,TRUE,2,0,NA,NA
4101652065,TRUE,2,1,1,NA
4102259952,TRUE,1,1,0,7
4106670071,TRUE,1,1,0,7
4109772219,TRUE,1,1,0,9
4101818899,TRUE,2,1,0,9
4101057895,TRUE,1,1,1,9
4103873933,TRUE,1,0,NA,NA
4108559999,TRUE,1,0,NA,NA
4105859145,TRUE,1,0,NA,NA
4101826892,TRUE,1,0,NA,NA
4104158610,TRUE,1,0,NA,NA
4101427904,TRUE,2,1,NA,2
4109568974,TRUE,2,1,NA,4
4102463191,TRUE,2,1,1,7
4108771673,TRUE,1,1,0,5
4103479920,TRUE,2,1,0,6
4104143033,TRUE,1,0,NA,NA
4106097379,TRUE,1,1,1,6
4101645941,TRUE,1,0,NA,NA
4107740922,TRUE,1,1,1,6
4102046041,TRUE,1,1,0,4
4108743688,TRUE,1,1,NA,7
4102914303,TRUE,1,1,0,6
4107434318,TRUE,1,0,NA,NA
4103383461,TRUE,1,0,NA,NA
4109826524,TRUE,1,0,NA,NA
4101679930,TRUE,1,0,NA,NA
4106992271,TRUE,2,1,1,NA
4106323161,TRUE,1,1,1,4
4104971778,TRUE,1,1,0,7
4103489251,TRUE,1,1,0,5
4101512986,TRUE,1,1,0,5
4106455719,TRUE,1,1,1,6
4101636507,TRUE,1,0,NA,NA
4101762036,TRUE,2,0,NA,NA
4104898158,TRUE,2,1,1,10
4106109630,TRUE,1,1,1,6
4106000828,TRUE,1,1,1,6
4108484645,TRUE,1,1,1,7
4107731467,TRUE,1,1,1,8
4105823422,TRUE,1,0,NA,NA
4107616126,TRUE,2,1,1,7
4103364272,TRUE,1,1,1,NA
4108119811,TRUE,1,1,0,7
4105343773,TRUE,1,0,NA,NA
4102626826,TRUE,1,1,0,3
4106091034,TRUE,1,1,1,2
4101271822,TRUE,2,1,NA,7
4109884750,TRUE,1,1,1,6
4101627705,TRUE,1,1,1,10
4108757841,TRUE,2,1,1,2
4104841884,TRUE,1,1,0,8
4107392322,TRUE,1,0,NA,NA
4102204883,TRUE,1,1,0,9
4102249764,TRUE,1,0,NA,NA
4104454366,TRUE,1,1,1,10
4101783983,TRUE,1,1,0,9
4105179455,TRUE,1,0,NA,NA
4100617871,TRUE,1,1,0,10
4101137721,TRUE,1,1,1,8
4106262898,TRUE,1,0,NA,NA
4100309943,TRUE,1,1,1,6
